Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N75	NG75	L50	LG50	L75	LG75	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA75	NGA75	LA50	LGA50	LA75	LGA75
k96_ecoli_100X_noerr_1-contigs	197	85	68	62	51	30	4638361	4613606	4565817	4522362	4353404	3652820	88	327797	4615819	4641652	50.76	50.79	124116	124116	59186	58833	14	14	27	28	0	0	0	0	0	0 + 0 part	0	98.911	1.005	0.00	2.50	0.04	327797	4615819	124116	124116	59186	58833	14	14	27	28
k102_ecoli_200X_noerr_1-contigs	174	79	63	57	48	27	4639887	4617277	4570214	4526286	4389825	3685117	83	327797	4620126	4641652	50.76	50.79	133970	133970	64353	64353	12	12	24	24	0	0	0	0	0	0 + 0 part	0	98.989	1.006	0.00	2.50	0.04	327797	4620126	133970	133970	64353	64353	12	12	24	24
k108_ecoli_200X_noerr_1-contigs	165	78	62	56	47	28	4640030	4618976	4571169	4527297	4390818	3742940	82	327797	4621566	4641652	50.77	50.79	133970	133970	64353	64353	12	12	24	24	0	0	0	0	0	0 + 0 part	0	99.021	1.006	0.00	2.48	0.04	327797	4621566	133970	133970	64353	64353	12	12	24	24
k114_ecoli_200X_noerr_1-contigs	160	75	60	55	46	28	4641044	4618065	4572667	4536655	4399957	3782432	81	327797	4622363	4641652	50.77	50.79	133970	133970	69113	69113	12	12	23	23	0	0	0	0	0	0 + 0 part	0	99.038	1.006	0.00	1.61	0.00	327797	4622363	133970	133970	69113	69113	12	12	23	23
k120_ecoli_200X_noerr_1-contigs	151	73	59	54	45	29	4640087	4619470	4576314	4540302	4403336	3848782	76	327797	4621839	4641652	50.76	50.79	133970	133970	68599	68599	12	12	23	23	0	0	0	0	0	0 + 0 part	0	99.023	1.006	0.00	2.55	0.04	327797	4621839	133970	133970	68599	68599	12	12	23	23
k126_ecoli_200X_noerr_1-contigs	151	73	59	54	45	29	4641111	4619698	4575822	4539810	4402539	3848026	76	327797	4622067	4641652	50.76	50.79	133970	133970	68605	66781	12	12	23	24	0	0	0	0	0	0 + 0 part	0	99.006	1.006	0.00	2.59	0.07	327797	4622067	133970	133970	68605	66781	12	12	23	24
k30_ecoli_200X_noerr_1-contigs	509	133	103	89	58	30	4601549	4563782	4477715	4364096	3878462	2874216	142	269785	4569962	4641652	50.76	50.79	59500	59186	35895	35440	20	21	44	45	0	0	0	2	0	0 + 0 part	0	98.108	1.004	9.65	2.22	0.29	269785	4569766	59500	59186	35895	35440	20	21	44	45
k36_ecoli_200X_noerr_1-contigs	403	117	95	79	58	33	4608644	4574252	4514977	4391881	4070304	3150789	127	270096	4581596	4641652	50.77	50.79	74787	74318	42346	42312	19	20	40	41	0	0	0	5	0	0 + 0 part	0	98.323	1.004	2.82	3.00	0.26	270096	4581596	74787	74318	42346	42312	19	20	40	41
k42_ecoli_200X_noerr_1-contigs	336	106	86	76	55	32	4617836	4589759	4534716	4456293	4129177	3282975	113	270194	4594693	4641652	50.77	50.79	95807	88456	45418	43688	17	18	36	37	0	0	0	6	0	0 + 0 part	0	98.568	1.004	0.04	3.45	0.26	270194	4594693	95807	88456	45418	43688	17	18	36	37
k48_ecoli_200X_noerr_1-contigs	324	102	83	73	52	33	4621838	4592893	4542480	4465513	4138756	3470503	107	270060	4596524	4641652	50.77	50.79	96181	96181	53709	49538	16	16	33	34	0	0	0	2	0	0 + 0 part	0	98.602	1.004	0.00	1.90	0.11	270060	4596524	96181	96181	53709	49538	16	16	33	34
