	N1	N2	N3	N4	Repeat Content
k102_ecoli_100X_noerr_1	4512076.907374237	4812.285964219169	779.8767843874871	446.73120853454	0.0013365956568359054
k108_ecoli_100X_noerr_1	22697.196992477588	2742.4066522890507	1208.9530838704222	1148.1642745969507	0.18345775424961525
k114_ecoli_100X_noerr_1	26814.91856916807	3086.698455344322	827.2856650388704	1276.2887798961578	0.16216971878559308
k120_ecoli_100X_noerr_1	60655.99277343998	2.569534632142584e-28	1946.2181355111786	1450.5523378404123	0.05303081867466095
k126_ecoli_100X_noerr_1	4567526.008906985	12953.627925237124	561.8545205419347	308.17795727125235	0.0030173772798119986
k30_ecoli_100X_noerr_1	-1.0	-1.0	-1.0	-1.0	0.75
k36_ecoli_100X_noerr_1	4526456.192591398	4171.933196798586	1640.7866944096716	1.185130575663227	0.0012827799086479166
k42_ecoli_100X_noerr_1	4529900.65660272	5004.967054967761	1239.2274546073952	238.88421562467377	0.0014291292587775735
k48_ecoli_100X_noerr_1	4486410.852303354	7265.936474211609	1360.8091580132852	278.6448389278173	0.001981037593398837
k54_ecoli_100X_noerr_1	4528463.420048014	4647.998689468294	1231.963554132843	286.37396776609245	0.0013598323441633843
k60_ecoli_100X_noerr_1	4527681.182274556	5103.540133391229	695.2635733951387	117.29629135571335	0.0013049460791930622
k66_ecoli_100X_noerr_1	4536413.461274249	5194.721142268971	1036.859608518491	145.75265545117588	0.001403836032622581
k72_ecoli_100X_noerr_1	4565446.45802973	4292.940241089512	1121.7003362613882	140.66958909507156	0.0012153375667229782
k78_ecoli_100X_noerr_1	4548139.318952242	4893.834294840241	984.7975605741933	86.77711329041469	0.0013098971861870627
k84_ecoli_100X_noerr_1	5015247.136917363	4182.466575705475	725.2729293327633	10.99953331391698	0.0009797961182738306
k90_ecoli_100X_noerr_1	150836.22953513483	5882.484204357663	1974.7063426614654	283.33219389654016	0.051205743131425265
k96_ecoli_100X_noerr_1	4549971.151137064	3751.75290784296	1086.4249992216646	151.07792212371533	0.0010953455976385406
k102_ecoli_200X_noerr_1	4515695.5064552035	4671.504390692058	1231.8272142041674	181.4507931444907	0.0013456607816705445
k108_ecoli_200X_noerr_1	4574003.591789572	5627.555955933119	1044.0121026535453	207.7102312939295	0.0015017363431868926
k114_ecoli_200X_noerr_1	11462.703900379494	627.2339939099727	346.53300880869176	3.6802217588720645e-161	0.07829930293778765
k120_ecoli_200X_noerr_1	10364.342149132857	623.686650259143	258.2145133183943	3.2877136202738626e-15	0.07841740028697593
k126_ecoli_200X_noerr_1	13048.28200945535	706.3473735138565	843.642009637529	107.87639389509812	0.11273283806981528
k30_ecoli_200X_noerr_1	4533532.897637358	458.2970189448209	8.913021833803486e-252	0.0	0.00010108026223892167
k36_ecoli_200X_noerr_1	4530555.973744625	1683.4855475872237	6.112611631309944e-205	0.0	0.00037144673460173463
k42_ecoli_200X_noerr_1	4528997.331610685	4750.6540275355455	1.3945865244481349e-157	0.0	0.0010478425449725985
k48_ecoli_200X_noerr_1	4486018.689986602	5600.232354502073	3.173402997805339e-113	0.0	0.0012468182299809043
k54_ecoli_200X_noerr_1	4532124.808926309	4435.351179063475	2.0986205238700687e-75	0.0	0.0009776903694715805
k60_ecoli_200X_noerr_1	4530287.711250041	5942.3347991133	5.34341999721125e-41	0.0	0.0013099720999134065
k66_ecoli_200X_noerr_1	4546385.7517847875	5191.547917910985	3.698178198749672e-12	0.0	0.0011406041413929392
k72_ecoli_200X_noerr_1	4569290.84749414	4585.564595195857	183.77781479341004	0.0	0.00104269340847682
k78_ecoli_200X_noerr_1	4540656.457475168	4417.823403615234	1137.4209015135048	7.636088368981516e-211	0.0012219502015168597
k84_ecoli_200X_noerr_1	4550502.254257151	4920.748886599891	761.1015697995344	6.577214323208559e-95	0.001247063403456706
k90_ecoli_200X_noerr_1	4661987.928178808	4868.237623827766	1197.2347830202987	5.276417247097428e-19	0.0012993579735157033
k96_ecoli_200X_noerr_1	4552303.920762445	3974.638248044161	1274.7168285871942	37.32039551366695	0.0011599715596466236
k102_ecoli_20X_noerr_2	10952.421715992406	3282.4351617752554	567.125879439297	270.12072907972276	0.27333157405949066
k108_ecoli_20X_noerr_2	9295.950957786617	2368.879607565538	852.2515869250667	54.82095228420325	0.2605772665863296
k114_ecoli_20X_noerr_2	-1.0	-1.0	-1.0	-1.0	0.75
